package_id,service_name,service_id,visits
1,Blow Dry - Short,1273103,3
1,Brazilian Plex Hair Treatment,1273107,3
2,Brazilian Detox massage,1273095,4
3,Eyebrow Lamination / Botox,2716119,1
3,Lips Micropigmentation,2716133,1
4,"Brazilian Facial Treatment: Clean, Glow, and Energize",2716143,4
5,Regular makeup,1274045,1
5,Hair Styling,1287011,1
6,trim,1361598,1
6,Blow Dry - Short,1273103,1
6,INTENSIVE HAIR TREATMENT,1273107,1
7,Brazilian Treatment with Olaplex,1322819,1
7,Eye Brows Threading/waxing,1284374,1
7,Blow Dry (Package),1274007,1
8,Basic Manicure,1273086,0
8,Blow Dry (Package),1274007,0
8,INTENSIVE HAIR TREATMENT,1273107,0
9,Basic Manicure,1273086,4
9,Basic Pedicure,1273087,2
9,Nail Polish Hand,1273088,4
10,Eyelash Extension Permanent - Short/Medium,1275564,1
10,Eyebrow Lamination / Botox,2716119,1
11,Lips Micropigmentation,2716133,1
11,Eyebrows Microblading,2716132,1
12,Lymphatic Drainage,2716148,4
12,Brazilian Facial Total Clean,1273093,4
